number,value,max_depth,num_trees,splitrule,min_node_size,max_features_mode,class_weight_mode,std_err
10,0.843536951585732,19,580,gini,95,sqrt,balanced,0.0026237114106060916
6,0.8413464073829928,15,460,gini,85,log2,balanced,0.0024526759627806764
14,0.8408600673844576,22,760,gini,115,all,balanced,0.003448858898385604
29,0.8404698601040065,19,627,gini,129,all,balanced,0.0035466924311649234
18,0.8404334212261041,27,791,gini,127,all,none,0.0035357565336626836
16,0.8403686003076247,15,237,gini,88,log2,none,0.0024522596272501013
46,0.8398753021313997,18,700,gini,144,all,balanced,0.0036763492662601075
17,0.838446861495642,30,557,gini,153,log2,balanced,0.0030062258145560367
47,0.8363423789643302,7,604,gini,25,sqrt,balanced,0.0027407487865663115
13,0.8360814473009595,16,402,extratrees,37,all,none,0.002373103233229317
7,0.8339191020288581,25,146,extratrees,16,sqrt,none,0.0027378227620008574
9,0.8336235625869772,27,671,extratrees,91,all,balanced,0.002618099497834972
8,0.8335087526550942,18,690,extratrees,8,log2,balanced,0.0028827837344265086
31,0.8332432432432433,7,73,gini,98,sqrt,balanced,0.0027685432983914704
30,0.8325704973265949,7,964,gini,77,log2,balanced,0.002897701733029516
2,0.8322031787885447,28,509,extratrees,16,log2,balanced,0.002838129477830171
42,0.8315161502966381,7,933,gini,157,log2,balanced,0.0030164549073257675
4,0.8314663443931737,17,706,extratrees,144,all,none,0.002741005998366069
36,0.8304599721672893,17,364,extratrees,168,all,none,0.0027443300227106035
45,0.8303990881125027,6,201,gini,133,all,balanced,0.00393790874844875
48,0.8282908518274372,15,162,extratrees,53,sqrt,none,0.0028123483772971836
38,0.8273135940818868,17,282,extratrees,80,sqrt,balanced,0.002407782646683638
1,0.8271826704753534,7,247,extratrees,125,all,balanced,0.002858075388282669
3,0.8249608144730096,18,126,extratrees,64,log2,balanced,0.0027746094091356654
40,0.8249540394052589,6,660,extratrees,27,all,none,0.0026624277156354916
5,0.8238542811103786,4,627,gini,191,sqrt,none,0.003244625590482259
49,0.8238047498718231,4,437,gini,176,sqrt,none,0.0031085436109630597
24,0.8205899802241265,19,366,extratrees,123,log2,none,0.0023175051116202934
15,0.8200346077785102,11,348,extratrees,185,sqrt,none,0.0027271212262549626
21,0.819878231890427,9,721,extratrees,149,sqrt,balanced,0.002351401409452815
41,0.8188670072511536,5,664,extratrees,147,all,none,0.002662315812277496
32,0.8182122976635172,19,716,extratrees,184,log2,balanced,0.002216085994826473
28,0.8181352083791108,13,125,extratrees,127,log2,none,0.0023053075022014054
26,0.8172302790595474,7,512,extratrees,61,sqrt,balanced,0.0022643932616129613
37,0.8146306672526185,2,750,gini,134,sqrt,none,0.003390514304194347
35,0.814592214165385,2,629,gini,75,sqrt,balanced,0.003393987776749471
33,0.8144220134768916,2,425,gini,32,sqrt,balanced,0.0030718109174635343
43,0.8142164725701311,6,803,extratrees,50,sqrt,none,0.002381581843634967
23,0.8121295685929832,2,808,gini,100,log2,balanced,0.003410069917469689
19,0.811987292170219,2,625,gini,124,log2,balanced,0.003554547135442268
25,0.8111524024024024,4,341,extratrees,156,all,none,0.0025117975110483357
20,0.809868527063649,5,720,extratrees,150,sqrt,balanced,0.0022130301552413644
50,0.8055980370614517,5,50,extratrees,151,sqrt,none,0.004287106452706683
27,0.8052569032447081,3,867,gini,74,all,none,0.0031226202543017004
44,0.8049668571010035,3,236,gini,152,all,balanced,0.00322113428108232
12,0.7975895407602724,4,212,extratrees,105,log2,none,0.0019250881050482836
22,0.7952332820625504,2,794,extratrees,140,sqrt,balanced,0.0022481404646746495
39,0.7923411521277375,3,251,extratrees,26,log2,balanced,0.002741574221394667
11,0.7880813740569838,2,946,extratrees,117,log2,none,0.003480179274447753
34,0.7590168827363949,2,377,gini,77,all,balanced,0.003685890960069257
