feature,median_before,se_before,category_before,median_after,se_after,category_after,in_before_top10,in_after_top10,plot_category
Non-Household Contacts,449.2290453126179,0.4356008528532723,"Health, mental health and wellbeing",1079.6612897620494,1.1067815480283771,"Health, mental health and wellbeing",TRUE,TRUE,"Health, mental health and wellbeing"
Week Number,146.03312416300918,0.15840038571202691,Time,931.6554384893376,0.7645477280470819,Time,TRUE,TRUE,Time
Perceived Severity,312.9840715608452,0.3500533161270699,Perception of illness threat,779.6997131896806,1.0049587441640553,Perception of illness threat,TRUE,TRUE,Perception of illness threat
Age,128.68725587417967,0.11610271738503937,Demographics,595.3557836379904,0.3450335504368621,Demographics,TRUE,TRUE,Demographics
Cantril Ladder,81.59204862739202,0.08238460412679226,"Health, mental health and wellbeing",390.587494162915,0.2319899416019732,"Health, mental health and wellbeing",TRUE,TRUE,"Health, mental health and wellbeing"
Perceived Susceptibility,98.38861045341103,0.133094673605981,Perception of illness threat,389.99296715936146,0.3311760327991474,Perception of illness threat,TRUE,TRUE,Perception of illness threat
Very Willing To Isolate,46.06248674222347,0.11992793965494118,Self protective behaviours,378.4985108582979,0.7497655901380975,Self protective behaviours,TRUE,TRUE,Self protective behaviours
Household Size,62.073749745327376,0.07558295992560032,Demographics,320.63166105077795,0.24339647917972998,Demographics,TRUE,TRUE,Demographics
Isolate If Unwell(YES),54.50786605887947,0.13452323040819628,Self protective behaviours,235.13277271157776,0.5278596148092485,Self protective behaviours,TRUE,TRUE,Self protective behaviours
Isolate If Unwell(Not Sure),46.976703406655695,0.13808973954270998,Self protective behaviours,151.21746553506642,0.39860633495908854,Self protective behaviours,TRUE,TRUE,Self protective behaviours
